Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.871220122,-1.474869251,1.46281004,-1.070061922,2.336682485
1.876255903,-2.143129826,1.436221123,-0.7548537254,2.68803659
1.881291789,-2.647776127,1.324483871,-0.3512077332,2.981329035
1.886327622,-2.908643723,1.080844879,0.08759582043,3.104207948
1.891363872,-3.077524185,0.8018550873,0.562838912,3.229692606
1.896399706,-3.336873531,0.757979393,0.9984862804,3.564580281
1.901435539,-3.493370056,0.8268442154,1.270117164,3.807952641
1.906471372,-3.499778986,0.8623065948,1.291291475,3.828767333
1.911507206,-3.2773633,0.8522472382,1.155563116,3.578094699
1.916543039,-3.076381683,0.8033628464,0.9376798868,3.314929817
1.92158257,-2.94824791,0.7391834259,0.7888784409,3.14020494
1.926618351,-2.834862232,0.7644577026,0.6272542477,3.00238028
1.931654237,-2.630414009,0.859254837,0.2917450666,2.782536957
1.93669007,-2.313153267,0.9559211731,0.09681344032,2.504762697
1.941725903,-1.911772728,0.9199962616,-0.1010377407,2.124023707
1.946761685,-1.693261147,0.8203020096,-0.3176999092,1.90813048
1.951800435,-1.723134518,0.7543487549,-0.3363053799,1.910846911
1.956836268,-2.051045895,0.6503992081,-0.2913706303,2.1713372
1.961872101,-2.35473156,0.6022853851,-0.1544368267,2.435438182
1.966907935,-2.692991257,0.679974556,0.179776907,2.783323021
1.971943768,-2.854636192,0.8697986603,0.6327213049,3.050546467
1.976979601,-2.69670105,1.085680962,0.9399564266,3.055227943
1.982014966,-2.453309059,1.200623512,1.312641025,3.030387536
1.987050799,-2.191370487,1.305620193,1.554864407,2.987365399
1.992086633,-2.020778656,1.436668396,1.892205238,3.118974691
1.997122466,-1.991431236,1.615318298,2.059769154,3.289027294
2.002158299,-1.994999886,1.884654999,2.093185902,3.451575905
2.007194133,-1.975998878,2.234893799,2.127541065,3.664116926
2.012230903,-1.799831152,3.112441063,1.817238688,4.028528019
2.017266737,-2.237285614,3.2926054,2.045186758,4.475431389
2.02230257,-2.768314362,3.518182755,2.252001286,5.01125574
2.027338403,-3.073302746,4.637310028,1.812463045,5.851056003
2.032374237,-3.646032333,5.685253143,1.385080814,6.894498092
2.03741007,-4.366606236,6.593852997,1.23105669,8.003852068
2.042458872,-5.307034969,7.722859383,1.134497881,9.43897572
2.047494758,-6.261117935,9.082140923,0.8497191668,11.06385576
2.052530539,-7.163377762,10.51457882,0.4346386194,12.73024978
2.057566372,-8.086830139,11.95642757,0.02911424637,14.43446673
2.062602206,-9.049484253,13.3939724,-0.3971745968,16.16939731
2.067638039,-9.968593597,15.09277058,-0.6800844669,18.10047228
2.072666633,-10.7335043,16.7801857,-0.87911129,19.93879593
2.077702466,-11.28911209,18.08398819,-1.008488417,21.34225221
2.082738299,-11.80496502,19.07197952,-1.301282167,22.46755299
2.087774133,-12.37252617,20.11965179,-1.920156717,23.69740057
2.092809966,-12.87500477,20.94119263,-2.758975744,24.73683981
2.097845799,-13.00052738,21.10991669,-3.574391842,25.04832473
2.102882153,-12.65817356,20.71097755,-4.253050804,24.64269446
2.107918299,-12.31422138,19.91031837,-5.054156303,23.95005891
2.112954445,-12.86992073,18.91455841,-6.159768105,23.69257526
2.117990643,-14.65649319,17.63883781,-7.552628994,24.14505326
2.123026789,-17.05579758,15.71014118,-9.09590435,24.90871821
2.128062935,-19.60637093,12.91488171,-10.3632679,25.66322801
2.133099966,-22.64070892,9.449931145,-11.04610634,26.90574965
2.138136112,-26.35633469,5.677909851,-11.19986534,29.19472593
2.143172258,-30.5384922,2.147525787,-11.08254814,32.55816712
2.148208456,-34.45872116,-1.117371082,-10.60058022,36.06971421
2.153244601,-37.45436859,-4.208200455,-9.736995697,38.92746797
2.158280747,-39.12305069,-6.765111923,-8.496447563,40.60257942
2.163316841,-39.15623093,-8.640789032,-7.147974968,40.73042108
2.168352987,-37.21934509,-10.27042389,-6.011713982,39.07559291
2.173389133,-33.66738129,-12.25249481,-4.637091637,36.12642815
2.178425331,-29.41270828,-14.44826698,-2.454851627,32.86162083
2.183461476,-24.37309837,-16.54303932,0.178393364,29.45762887
